CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 0.996094 1622088780.0053
MEM 13.328125 1622088780.1247
MEM 18.132812 1622088780.2328
MEM 23.394531 1622088780.3409
MEM 30.468750 1622088780.4564
MEM 33.441406 1622088780.5645
MEM 37.835938 1622088780.6746
MEM 43.453125 1622088780.7842
MEM 46.839844 1622088780.8927
MEM 48.253906 1622088781.0006
MEM 49.449219 1622088781.1127
MEM 52.644531 1622088781.2205
MEM 57.480469 1622088781.3328
MEM 62.261719 1622088781.4414
MEM 62.437500 1622088781.5511
MEM 62.437500 1622088781.6633
MEM 62.437500 1622088781.7705
MEM 62.671875 1622088781.8761
MEM 62.671875 1622088781.9852
MEM 62.671875 1622088782.0949
MEM 62.671875 1622088782.2023
MEM 62.671875 1622088782.3141
MEM 62.671875 1622088782.4235
MEM 62.671875 1622088782.5352
MEM 62.671875 1622088782.6460
MEM 62.671875 1622088782.7582
MEM 62.960938 1622088782.8704
MEM 62.996094 1622088782.9827
MEM 64.488281 1622088783.0905
MEM 69.738281 1622088783.2013
MEM 71.667969 1622088783.3107
MEM 77.691406 1622088783.4220
MEM 83.617188 1622088783.5323
MEM 87.023438 1622088783.6405
MEM 94.078125 1622088783.7488
MEM 98.988281 1622088783.9357
MEM 101.550781 1622088784.0657
MEM 104.699219 1622088784.1951
MEM 105.371094 1622088784.3255
MEM 105.371094 1622088784.4389
MEM 105.500000 1622088784.5526
MEM 105.558594 1622088784.7618
MEM 105.558594 1622088784.8758
MEM 105.578125 1622088784.9840
MEM 105.589844 1622088785.1006
MEM 105.605469 1622088785.2139
MEM 106.558594 1622088785.3268
MEM 108.253906 1622088785.4381
MEM 108.292969 1622088785.5479
MEM 108.332031 1622088785.6599
MEM 108.359375 1622088785.7683
MEM 108.843750 1622088785.8771
MEM 109.273438 1622088785.9897
MEM 126.554688 1622088786.1047
MEM 127.171875 1622088786.2131
MEM 127.718750 1622088786.3216
MEM 127.718750 1622088786.4340
MEM 127.718750 1622088786.5414
MEM 127.757812 1622088786.6529
MEM 127.757812 1622088786.7615
MEM 127.757812 1622088786.8708
MEM 127.757812 1622088786.9800
MEM 127.757812 1622088787.0979
MEM 128.226562 1622088787.2059
MEM 128.796875 1622088787.3171
MEM 120.449219 1622088787.4313
MEM 128.851562 1622088787.5443
MEM 128.851562 1622088787.6537
MEM 128.851562 1622088787.7619
MEM 128.851562 1622088787.8709
MEM 128.851562 1622088787.9799
MEM 128.851562 1622088788.0926
MEM 128.851562 1622088788.2035
MEM 128.851562 1622088788.3114
MEM 128.851562 1622088788.4189
MEM 128.851562 1622088788.5301
MEM 128.878906 1622088788.6418
MEM 128.878906 1622088788.7541
MEM 128.878906 1622088788.8641
MEM 128.882812 1622088788.9756
MEM 128.882812 1622088789.0880
MEM 128.882812 1622088789.2004
MEM 128.882812 1622088789.3101
MEM 128.882812 1622088789.4223
MEM 128.882812 1622088789.5322
MEM 128.882812 1622088789.6459
MEM 128.882812 1622088789.7568
MEM 128.882812 1622088789.8640
MEM 128.933594 1622088789.9733
MEM 128.933594 1622088790.0837
MEM 128.933594 1622088790.1964
MEM 128.933594 1622088790.3057
MEM 129.531250 1622088790.4175
MEM 129.531250 1622088790.5295
MEM 129.531250 1622088790.6373
MEM 129.660156 1622088790.7500
MEM 129.660156 1622088790.8632
MEM 129.660156 1622088790.9760
MEM 129.660156 1622088791.0827
MEM 129.660156 1622088791.1989
MEM 129.632812 1622088791.3117
MEM 129.632812 1622088791.4222
MEM 129.808594 1622088791.5613
MEM 129.867188 1622088791.6737
MEM 129.867188 1622088791.7851
MEM 129.867188 1622088791.8973
MEM 129.867188 1622088792.0071
MEM 129.867188 1622088792.1165
MEM 129.878906 1622088792.2254
MEM 130.109375 1622088792.3348
MEM 130.109375 1622088792.4438
MEM 130.761719 1622088792.5521
MEM 133.402344 1622088792.6632
MEM 133.839844 1622088792.7953
MEM 133.839844 1622088792.9044
MEM 133.839844 1622088793.0126
MEM 133.843750 1622088793.1190
MEM 133.851562 1622088793.2289
MEM 133.863281 1622088793.3404
MEM 133.863281 1622088793.4471
MEM 133.867188 1622088793.5619
MEM 133.867188 1622088793.6743
MEM 133.867188 1622088793.7848
MEM 138.500000 1622088793.8997
MEM 138.320312 1622088794.0083
MEM 138.343750 1622088794.1259
MEM 138.343750 1622088794.2376
MEM 138.347656 1622088794.3451
MEM 138.351562 1622088794.4545
MEM 138.355469 1622088794.5629
MEM 138.375000 1622088794.6752
MEM 138.371094 1622088794.7836
MEM 138.371094 1622088794.8959
MEM 138.406250 1622088795.0070
MEM 138.406250 1622088795.1209
MEM 138.406250 1622088795.2302
MEM 138.406250 1622088795.3444
MEM 138.406250 1622088795.4580
MEM 138.406250 1622088795.5674
MEM 138.406250 1622088795.6748
MEM 138.406250 1622088795.7875
MEM 138.406250 1622088795.8957
MEM 138.406250 1622088796.0053
MEM 138.406250 1622088796.1141
MEM 138.406250 1622088796.2245
MEM 138.417969 1622088796.3354
MEM 138.453125 1622088796.4526
MEM 138.453125 1622088796.5631
MEM 138.453125 1622088796.6748
MEM 138.453125 1622088796.7844
MEM 138.453125 1622088796.8923
MEM 138.484375 1622088797.0046
MEM 138.492188 1622088797.1178
MEM 138.492188 1622088797.2254
MEM 138.492188 1622088797.3355
MEM 138.492188 1622088797.4404
MEM 138.492188 1622088797.5484
MEM 138.558594 1622088797.6557
MEM 138.621094 1622088797.7710
MEM 138.652344 1622088797.8844
MEM 138.691406 1622088797.9972
MEM 138.691406 1622088798.1071
MEM 138.691406 1622088798.2192
MEM 138.691406 1622088798.3270
MEM 138.691406 1622088798.4358
MEM 138.726562 1622088798.5425
MEM 138.738281 1622088798.6539
MEM 138.742188 1622088798.7620
MEM 138.746094 1622088798.8757
MEM 138.812500 1622088798.9859
