CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 138.820312 1622088799.0972
MEM 138.828125 1622088799.2071
MEM 138.835938 1622088799.3210
MEM 138.843750 1622088799.4299
MEM 138.855469 1622088799.5357
MEM 138.882812 1622088799.6459
MEM 138.890625 1622088799.7557
MEM 138.890625 1622088799.8656
MEM 138.894531 1622088799.9742
MEM 138.898438 1622088800.0830
MEM 138.906250 1622088800.1916
MEM 138.921875 1622088800.3012
MEM 138.929688 1622088800.4135
MEM 138.929688 1622088800.5218
MEM 138.933594 1622088800.6310
MEM 138.933594 1622088800.7366
MEM 138.945312 1622088800.8459
MEM 138.949219 1622088800.9540
MEM 138.953125 1622088801.0665
MEM 138.953125 1622088801.1779
MEM 138.953125 1622088801.2859
MEM 139.007812 1622088801.3976
MEM 139.011719 1622088801.5046
MEM 139.019531 1622088801.6130
MEM 139.019531 1622088801.7211
MEM 139.019531 1622088801.8295
MEM 139.027344 1622088801.9348
MEM 139.042969 1622088802.0398
MEM 139.042969 1622088802.1446
MEM 139.050781 1622088802.2494
MEM 139.062500 1622088802.3596
MEM 139.085938 1622088802.4661
MEM 139.113281 1622088802.5757
MEM 139.125000 1622088802.6853
MEM 139.132812 1622088802.7975
MEM 139.132812 1622088802.9124
MEM 139.140625 1622088803.0263
MEM 139.144531 1622088803.1337
MEM 139.152344 1622088803.2419
MEM 139.160156 1622088803.3547
MEM 139.164062 1622088803.4637
MEM 139.175781 1622088803.5724
MEM 139.175781 1622088803.6833
MEM 139.175781 1622088803.7937
MEM 139.175781 1622088803.9008
MEM 139.148438 1622088804.0075
MEM 139.156250 1622088804.1128
MEM 139.183594 1622088804.2212
MEM 139.195312 1622088804.3302
MEM 139.203125 1622088804.4381
MEM 139.218750 1622088804.5448
MEM 139.222656 1622088804.6549
MEM 139.242188 1622088804.7657
MEM 139.242188 1622088804.8729
MEM 139.242188 1622088804.9797
MEM 139.246094 1622088805.0861
MEM 139.257812 1622088805.1931
MEM 139.269531 1622088805.3050
MEM 139.289062 1622088805.4146
MEM 139.289062 1622088805.5246
MEM 139.296875 1622088805.6328
MEM 139.308594 1622088805.7428
MEM 139.312500 1622088805.8505
MEM 139.316406 1622088805.9581
MEM 139.332031 1622088806.0632
MEM 139.347656 1622088806.1716
MEM 139.347656 1622088806.2829
MEM 139.347656 1622088806.3928
MEM 139.347656 1622088806.5004
MEM 139.351562 1622088806.6088
MEM 139.367188 1622088806.7208
MEM 139.375000 1622088806.8326
MEM 139.382812 1622088806.9412
MEM 139.382812 1622088807.0505
MEM 139.394531 1622088807.1579
MEM 135.703125 1622088807.2660
MEM 139.597656 1622088807.3725
MEM 139.597656 1622088807.4796
MEM 139.640625 1622088807.5851
MEM 139.640625 1622088807.6900
MEM 139.734375 1622088807.7982
MEM 141.445312 1622088807.9151
MEM 141.445312 1622088808.0213
MEM 141.445312 1622088808.1261
MEM 141.449219 1622088808.2345
MEM 141.449219 1622088808.3426
MEM 141.449219 1622088808.4480
MEM 143.656250 1622088808.5571
MEM 143.328125 1622088808.6679
MEM 143.328125 1622088808.7767
MEM 143.328125 1622088808.8831
MEM 143.328125 1622088808.9961
MEM 143.328125 1622088809.1048
MEM 143.328125 1622088809.2099
MEM 143.574219 1622088809.3168
MEM 143.578125 1622088809.4244
MEM 143.582031 1622088809.5312
MEM 143.585938 1622088809.6372
MEM 143.585938 1622088809.7466
MEM 143.601562 1622088809.8580
MEM 143.609375 1622088809.9714
MEM 143.613281 1622088810.0780
MEM 143.621094 1622088810.1898
MEM 143.628906 1622088810.2962
MEM 143.628906 1622088810.4039
MEM 143.628906 1622088810.5100
MEM 143.632812 1622088810.6180
MEM 143.644531 1622088810.7267
MEM 143.648438 1622088810.8313
MEM 143.660156 1622088810.9385
MEM 143.671875 1622088811.0453
MEM 143.773438 1622088811.1551
MEM 143.792969 1622088811.2684
MEM 143.796875 1622088811.3768
MEM 143.628906 1622088811.4847
MEM 143.640625 1622088811.5915
MEM 143.652344 1622088811.6978
MEM 143.667969 1622088811.8073
MEM 143.683594 1622088811.9148
MEM 143.699219 1622088812.0217
MEM 143.699219 1622088812.1332
MEM 143.703125 1622088812.2405
MEM 143.726562 1622088812.3465
MEM 143.949219 1622088812.4532
MEM 143.742188 1622088812.5681
MEM 143.742188 1622088812.6780
MEM 143.742188 1622088812.7835
MEM 143.753906 1622088812.8887
MEM 143.757812 1622088812.9933
MEM 143.757812 1622088813.1028
MEM 143.757812 1622088813.2121
MEM 143.757812 1622088813.3215
MEM 143.757812 1622088813.4287
MEM 143.765625 1622088813.5337
MEM 143.765625 1622088813.6385
MEM 143.765625 1622088813.7434
MEM 143.769531 1622088813.8485
MEM 143.796875 1622088813.9550
MEM 143.996094 1622088814.0662
MEM 144.000000 1622088814.1715
MEM 144.000000 1622088814.2812
MEM 144.000000 1622088814.3904
MEM 144.000000 1622088814.4959
MEM 144.000000 1622088814.6023
MEM 144.003906 1622088814.7072
MEM 144.003906 1622088814.8124
MEM 144.003906 1622088814.9215
MEM 144.003906 1622088815.0319
MEM 144.003906 1622088815.1412
MEM 144.003906 1622088815.2489
MEM 144.003906 1622088815.3551
MEM 144.007812 1622088815.4614
MEM 144.015625 1622088815.5715
MEM 144.046875 1622088815.6819
MEM 144.015625 1622088815.7896
MEM 144.015625 1622088815.9009
MEM 144.023438 1622088816.0081
MEM 144.035156 1622088816.1148
MEM 144.039062 1622088816.2248
MEM 144.062500 1622088816.3329
MEM 144.074219 1622088816.4401
MEM 144.078125 1622088816.5500
MEM 144.082031 1622088816.6589
MEM 144.085938 1622088816.7719
MEM 144.093750 1622088816.8823
MEM 144.097656 1622088816.9891
MEM 144.097656 1622088817.1000
MEM 144.101562 1622088817.2091
MEM 144.121094 1622088817.3175
MEM 144.136719 1622088817.4269
MEM 144.148438 1622088817.5334
MEM 144.152344 1622088817.6438
MEM 144.164062 1622088817.7552
MEM 144.164062 1622088817.8641
MEM 144.167969 1622088817.9719
MEM 144.183594 1622088818.0833
MEM 144.203125 1622088818.1928
MEM 144.203125 1622088818.3005
MEM 144.210938 1622088818.4081
MEM 144.222656 1622088818.5161
MEM 144.234375 1622088818.6273
MEM 144.257812 1622088818.7355
MEM 144.281250 1622088818.8438
MEM 144.285156 1622088818.9507
MEM 144.285156 1622088819.0600
MEM 144.300781 1622088819.1718
MEM 144.316406 1622088819.2823
MEM 144.328125 1622088819.3939
MEM 144.363281 1622088819.5065
MEM 144.136719 1622088819.6153
