CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 127.480469 1622088973.2184
MEM 127.492188 1622088973.3268
MEM 127.492188 1622088973.4348
MEM 127.496094 1622088973.5511
MEM 127.496094 1622088973.6594
MEM 127.496094 1622088973.7670
MEM 127.500000 1622088973.8757
MEM 127.503906 1622088973.9878
MEM 127.515625 1622088974.0969
MEM 127.515625 1622088974.2058
MEM 127.515625 1622088974.3163
MEM 128.148438 1622088974.4269
MEM 128.148438 1622088974.5344
MEM 128.148438 1622088974.6426
MEM 128.148438 1622088974.7504
MEM 128.261719 1622088974.8616
MEM 128.265625 1622088974.9737
MEM 128.332031 1622088975.0820
MEM 128.339844 1622088975.1883
MEM 128.359375 1622088975.2981
MEM 128.359375 1622088975.4045
MEM 128.359375 1622088975.5143
MEM 128.359375 1622088975.6451
MEM 128.691406 1622088975.7546
MEM 128.691406 1622088975.8662
MEM 128.804688 1622088975.9932
MEM 128.804688 1622088976.1138
MEM 128.804688 1622088976.2235
MEM 128.804688 1622088976.3311
MEM 129.144531 1622088976.4447
MEM 129.144531 1622088976.5528
MEM 129.144531 1622088976.6661
MEM 132.906250 1622088976.7772
MEM 133.855469 1622088976.8848
MEM 133.859375 1622088976.9958
MEM 133.859375 1622088977.1032
MEM 133.859375 1622088977.2133
MEM 133.859375 1622088977.3261
MEM 133.859375 1622088977.4348
MEM 133.859375 1622088977.5433
MEM 133.863281 1622088977.6502
MEM 133.863281 1622088977.7575
MEM 133.867188 1622088977.8690
MEM 133.875000 1622088977.9758
MEM 133.878906 1622088978.0905
MEM 138.257812 1622088978.2104
MEM 139.355469 1622088978.3389
MEM 138.628906 1622088978.4486
MEM 138.632812 1622088978.5596
MEM 138.640625 1622088978.6680
MEM 138.640625 1622088978.7789
MEM 138.644531 1622088978.8909
MEM 138.644531 1622088978.9984
MEM 138.664062 1622088979.1074
MEM 138.671875 1622088979.2151
MEM 138.671875 1622088979.3267
MEM 138.718750 1622088979.4350
MEM 138.718750 1622088979.5430
MEM 138.718750 1622088979.6546
MEM 138.718750 1622088979.7628
MEM 138.718750 1622088979.8759
MEM 138.718750 1622088979.9885
MEM 138.718750 1622088980.0978
MEM 138.718750 1622088980.2100
MEM 138.718750 1622088980.3224
MEM 138.718750 1622088980.4343
MEM 138.718750 1622088980.5459
MEM 138.718750 1622088980.6534
MEM 138.718750 1622088980.7623
MEM 138.730469 1622088980.8704
MEM 138.730469 1622088980.9835
MEM 138.730469 1622088981.0945
MEM 138.730469 1622088981.2049
MEM 138.738281 1622088981.3166
MEM 138.738281 1622088981.4292
MEM 138.738281 1622088981.5378
MEM 138.738281 1622088981.6499
MEM 138.738281 1622088981.7602
MEM 138.742188 1622088981.8719
MEM 138.750000 1622088981.9812
MEM 138.750000 1622088982.0895
MEM 138.750000 1622088982.2000
MEM 138.750000 1622088982.3095
MEM 138.761719 1622088982.4180
MEM 138.835938 1622088982.5297
MEM 138.867188 1622088982.6413
MEM 138.921875 1622088982.7518
MEM 138.921875 1622088982.8601
MEM 138.921875 1622088982.9718
MEM 138.921875 1622088983.0839
MEM 138.921875 1622088983.1946
MEM 138.960938 1622088983.3058
MEM 138.925781 1622088983.4138
MEM 138.925781 1622088983.5258
MEM 138.933594 1622088983.6334
MEM 138.941406 1622088983.7434
MEM 138.945312 1622088983.8553
MEM 139.011719 1622088983.9632
MEM 139.023438 1622088984.0697
MEM 139.023438 1622088984.1756
MEM 139.027344 1622088984.2818
MEM 139.035156 1622088984.3932
MEM 139.035156 1622088984.4986
MEM 139.039062 1622088984.6047
MEM 139.039062 1622088984.7109
MEM 139.046875 1622088984.8159
MEM 139.050781 1622088984.9286
MEM 139.078125 1622088985.0416
MEM 139.078125 1622088985.1555
MEM 139.078125 1622088985.2638
MEM 139.078125 1622088985.3755
MEM 139.078125 1622088985.4863
MEM 139.117188 1622088985.5963
MEM 139.121094 1622088985.7058
MEM 139.121094 1622088985.8107
MEM 139.121094 1622088985.9158
MEM 139.125000 1622088986.0208
MEM 139.128906 1622088986.1255
MEM 139.136719 1622088986.2316
MEM 139.136719 1622088986.3372
MEM 139.140625 1622088986.4484
MEM 139.144531 1622088986.5580
MEM 139.152344 1622088986.6644
MEM 139.164062 1622088986.7727
MEM 139.214844 1622088986.8821
MEM 139.273438 1622088986.9883
MEM 139.277344 1622088987.0933
MEM 139.292969 1622088987.1983
MEM 139.292969 1622088987.3088
MEM 139.304688 1622088987.4149
MEM 139.312500 1622088987.5213
MEM 139.320312 1622088987.6294
MEM 139.324219 1622088987.7358
MEM 139.332031 1622088987.8436
MEM 139.332031 1622088987.9501
MEM 139.335938 1622088988.0567
MEM 139.343750 1622088988.1663
MEM 139.343750 1622088988.2745
MEM 139.347656 1622088988.3814
MEM 139.355469 1622088988.4885
MEM 139.359375 1622088988.5936
MEM 139.359375 1622088988.7017
MEM 139.375000 1622088988.8124
MEM 139.472656 1622088988.9223
MEM 139.472656 1622088989.0340
MEM 139.472656 1622088989.1437
MEM 139.480469 1622088989.2497
MEM 139.484375 1622088989.3612
MEM 139.492188 1622088989.4735
MEM 139.500000 1622088989.5798
MEM 139.511719 1622088989.6923
MEM 139.527344 1622088989.8009
MEM 139.542969 1622088989.9090
MEM 139.542969 1622088990.0168
MEM 140.441406 1622088990.1297
MEM 140.445312 1622088990.2384
MEM 140.453125 1622088990.3448
MEM 140.464844 1622088990.4537
MEM 140.511719 1622088990.5603
MEM 140.515625 1622088990.6724
MEM 140.515625 1622088990.7811
MEM 140.570312 1622088990.8908
MEM 140.609375 1622088991.0033
MEM 140.613281 1622088991.1102
MEM 140.644531 1622088991.2184
MEM 140.648438 1622088991.3285
MEM 140.648438 1622088991.4393
MEM 140.648438 1622088991.5633
MEM 140.656250 1622088991.6743
MEM 140.660156 1622088991.7807
MEM 140.609375 1622088991.8921
MEM 140.609375 1622088992.0017
MEM 140.609375 1622088992.1081
MEM 140.609375 1622088992.2167
MEM 140.613281 1622088992.3268
MEM 140.613281 1622088992.4362
MEM 140.617188 1622088992.5467
MEM 140.617188 1622088992.6574
MEM 140.625000 1622088992.7644
MEM 140.632812 1622088992.8704
MEM 140.632812 1622088992.9809
MEM 140.636719 1622088993.0880
MEM 140.679688 1622088993.1969
MEM 140.691406 1622088993.3045
MEM 140.695312 1622088993.4157
MEM 140.703125 1622088993.5256
MEM 140.714844 1622088993.6330
MEM 140.714844 1622088993.7392
MEM 140.726562 1622088993.8478
MEM 140.730469 1622088993.9553
MEM 140.742188 1622088994.0677
MEM 140.750000 1622088994.1776
MEM 140.757812 1622088994.2845
MEM 140.761719 1622088994.3893
MEM 140.769531 1622088994.4986
MEM 140.769531 1622088994.6084
MEM 140.769531 1622088994.7162
MEM 140.769531 1622088994.8252
MEM 140.789062 1622088994.9334
MEM 140.789062 1622088995.0417
MEM 140.792969 1622088995.1523
MEM 140.792969 1622088995.2635
MEM 140.792969 1622088995.3715
MEM 137.253906 1622088995.4781
MEM 141.066406 1622088995.5868
MEM 141.066406 1622088995.6923
MEM 141.199219 1622088995.7968
MEM 141.199219 1622088995.9018
MEM 136.332031 1622088996.0104
MEM 142.718750 1622088996.1191
MEM 142.718750 1622088996.2240
MEM 142.730469 1622088996.3338
MEM 142.730469 1622088996.4418
MEM 142.730469 1622088996.5467
MEM 142.730469 1622088996.6524
MEM 144.078125 1622088996.7621
MEM 144.078125 1622088996.8712
MEM 144.078125 1622088996.9832
MEM 144.078125 1622088997.0901
MEM 144.078125 1622088997.2020
MEM 144.082031 1622088997.3114
MEM 144.089844 1622088997.4178
MEM 144.089844 1622088997.5272
MEM 144.089844 1622088997.6322
MEM 144.207031 1622088997.7399
MEM 144.207031 1622088997.8455
MEM 144.207031 1622088997.9520
MEM 144.195312 1622088998.0583
MEM 144.195312 1622088998.1677
MEM 144.195312 1622088998.2772
MEM 144.195312 1622088998.3838
MEM 144.199219 1622088998.4909
MEM 144.199219 1622088998.6004
MEM 143.144531 1622088998.7127
MEM 143.156250 1622088998.8203
MEM 143.765625 1622088998.9270
MEM 143.773438 1622088999.0324
MEM 143.785156 1622088999.1444
MEM 143.804688 1622088999.2523
MEM 143.824219 1622088999.3597
MEM 143.832031 1622088999.4688
MEM 143.847656 1622088999.5741
MEM 143.859375 1622088999.6806
MEM 143.859375 1622088999.7919
MEM 143.867188 1622088999.8977
MEM 143.878906 1622089000.0038
MEM 143.886719 1622089000.1143
MEM 143.894531 1622089000.2196
MEM 143.898438 1622089000.3322
MEM 143.906250 1622089000.4444
MEM 143.949219 1622089000.5545
MEM 143.953125 1622089000.6606
MEM 143.953125 1622089000.7691
MEM 143.953125 1622089000.8753
MEM 143.953125 1622089000.9847
MEM 144.203125 1622089001.0922
MEM 144.269531 1622089001.1987
MEM 144.269531 1622089001.3035
