CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 0.503906 1622088701.0745
MEM 16.496094 1622088701.1847
MEM 28.500000 1622088701.2914
MEM 33.156250 1622088701.3963
MEM 37.285156 1622088701.5037
MEM 43.992188 1622088701.6124
MEM 46.894531 1622088701.7200
MEM 50.171875 1622088701.8249
MEM 54.707031 1622088701.9302
MEM 59.343750 1622088702.0358
MEM 62.468750 1622088702.1427
MEM 62.468750 1622088702.2532
MEM 62.468750 1622088702.3649
MEM 62.468750 1622088702.4719
MEM 62.468750 1622088702.5787
MEM 62.730469 1622088702.6884
MEM 62.730469 1622088702.7999
MEM 63.011719 1622088702.9110
MEM 63.023438 1622088703.0228
MEM 66.359375 1622088703.1336
MEM 65.867188 1622088703.2459
