CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 0.378906 1622088615.8199
MEM 12.347656 1622088615.9258
MEM 21.226562 1622088616.0320
MEM 31.023438 1622088616.1419
MEM 39.972656 1622088616.2483
MEM 42.617188 1622088616.3547
MEM 49.625000 1622088616.4599
MEM 53.480469 1622088616.5686
MEM 55.460938 1622088616.6739
MEM 56.871094 1622088616.7828
MEM 61.234375 1622088616.8893
MEM 64.250000 1622088616.9946
MEM 67.765625 1622088617.1029
MEM 74.351562 1622088617.2128
MEM 77.882812 1622088617.3176
MEM 80.351562 1622088617.4295
MEM 80.351562 1622088617.5396
MEM 80.351562 1622088617.6517
MEM 80.351562 1622088617.7603
MEM 80.351562 1622088617.8703
MEM 80.351562 1622088617.9807
MEM 80.351562 1622088618.0889
MEM 80.351562 1622088618.2009
MEM 80.410156 1622088618.3108
MEM 80.410156 1622088618.4176
MEM 80.410156 1622088618.5295
MEM 80.410156 1622088618.6412
MEM 80.410156 1622088618.7531
MEM 80.410156 1622088618.8636
MEM 80.410156 1622088618.9739
MEM 80.410156 1622088619.0859
MEM 80.410156 1622088619.1941
MEM 80.671875 1622088619.3025
MEM 80.671875 1622088619.4140
MEM 80.671875 1622088619.5227
MEM 80.671875 1622088619.6317
MEM 80.671875 1622088619.7436
MEM 80.671875 1622088619.8557
MEM 80.671875 1622088619.9678
MEM 80.671875 1622088620.0794
MEM 80.671875 1622088620.1910
MEM 80.671875 1622088620.3027
MEM 80.671875 1622088620.4111
MEM 80.671875 1622088620.5192
MEM 80.671875 1622088620.6282
MEM 80.671875 1622088620.7402
MEM 80.671875 1622088620.8509
MEM 80.671875 1622088620.9560
MEM 80.671875 1622088621.0679
MEM 80.671875 1622088621.1748
MEM 80.953125 1622088621.2814
MEM 80.984375 1622088621.3871
MEM 81.007812 1622088621.4977
MEM 82.628906 1622088621.6030
MEM 90.375000 1622088621.7122
MEM 95.777344 1622088621.9064
MEM 99.132812 1622088622.0793
MEM 103.753906 1622088622.1962
MEM 105.503906 1622088622.3112
MEM 105.453125 1622088622.4227
MEM 105.582031 1622088622.5476
MEM 105.589844 1622088622.7310
MEM 105.601562 1622088622.8766
MEM 105.617188 1622088622.9900
MEM 105.628906 1622088623.0995
MEM 105.636719 1622088623.2365
MEM 106.527344 1622088623.3457
MEM 106.742188 1622088623.4554
MEM 108.398438 1622088623.5704
MEM 109.386719 1622088623.8065
MEM 126.933594 1622088623.9299
MEM 127.683594 1622088624.0521
MEM 127.746094 1622088624.1635
MEM 128.238281 1622088624.2739
MEM 119.894531 1622088624.3865
MEM 128.316406 1622088624.4959
MEM 128.750000 1622088624.6037
MEM 128.800781 1622088624.7157
MEM 128.800781 1622088624.8274
MEM 128.800781 1622088624.9395
MEM 129.503906 1622088625.0521
MEM 129.503906 1622088625.1611
MEM 129.562500 1622088625.2702
MEM 129.617188 1622088625.3826
MEM 129.671875 1622088625.4909
MEM 129.671875 1622088625.6004
MEM 129.671875 1622088625.7105
MEM 129.671875 1622088625.8188
MEM 129.671875 1622088625.9296
MEM 129.671875 1622088626.0382
MEM 129.683594 1622088626.1503
MEM 129.890625 1622088626.2618
MEM 129.890625 1622088626.3739
MEM 129.957031 1622088626.4916
MEM 129.957031 1622088626.6046
MEM 129.957031 1622088626.7176
MEM 129.957031 1622088626.8277
MEM 129.957031 1622088626.9358
MEM 129.957031 1622088627.0459
MEM 129.980469 1622088627.1588
MEM 130.207031 1622088627.2706
MEM 130.207031 1622088627.3786
MEM 132.218750 1622088627.4872
MEM 133.917969 1622088627.6081
MEM 134.226562 1622088627.7171
MEM 134.234375 1622088627.8274
MEM 134.234375 1622088627.9351
MEM 134.234375 1622088628.0454
MEM 134.246094 1622088628.1547
MEM 134.253906 1622088628.2665
MEM 134.265625 1622088628.3775
MEM 134.277344 1622088628.4850
MEM 134.281250 1622088628.5949
MEM 134.285156 1622088628.7050
MEM 138.027344 1622088628.8383
MEM 138.128906 1622088628.9502
MEM 138.210938 1622088629.0636
MEM 138.210938 1622088629.1748
MEM 138.210938 1622088629.2857
MEM 138.218750 1622088629.3947
MEM 138.218750 1622088629.5049
MEM 138.238281 1622088629.6131
MEM 138.253906 1622088629.7254
MEM 138.253906 1622088629.8349
MEM 138.320312 1622088629.9425
MEM 138.332031 1622088630.0522
MEM 138.332031 1622088630.1645
MEM 138.332031 1622088630.2748
MEM 138.453125 1622088630.3831
MEM 138.496094 1622088630.4925
MEM 138.558594 1622088630.6015
MEM 138.558594 1622088630.7083
MEM 138.558594 1622088630.8142
MEM 138.562500 1622088630.9206
MEM 138.578125 1622088631.0294
MEM 138.578125 1622088631.1386
MEM 138.585938 1622088631.2503
MEM 138.597656 1622088631.3613
MEM 138.605469 1622088631.4727
MEM 138.617188 1622088631.5805
MEM 133.253906 1622088631.6921
MEM 138.886719 1622088631.8025
MEM 136.144531 1622088631.9101
MEM 140.324219 1622088632.0185
MEM 141.785156 1622088632.1282
MEM 141.789062 1622088632.2399
MEM 141.792969 1622088632.3477
