CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 0.585938 1622088741.9718
MEM 17.089844 1622088742.0784
MEM 29.406250 1622088742.1903
MEM 34.554688 1622088742.3001
MEM 41.882812 1622088742.4048
MEM 46.449219 1622088742.5121
MEM 50.402344 1622088742.6230
MEM 57.140625 1622088742.7328
MEM 62.250000 1622088742.8404
MEM 62.250000 1622088742.9454
MEM 62.250000 1622088743.0520
MEM 62.488281 1622088743.1626
MEM 62.488281 1622088743.2740
MEM 62.488281 1622088743.3859
MEM 62.488281 1622088743.4937
MEM 62.488281 1622088743.6006
MEM 62.765625 1622088743.7096
MEM 62.789062 1622088743.8197
MEM 67.257812 1622088743.9278
MEM 65.820312 1622088744.0338
